Nivel_Ensino,Area_Formacao,SQL,Python,Tempo_Experiencia,Nivel_Senioridade,Faixa_Salarial,UF,Technical_Skills,Salario_Medio
Graduação/Bacharelado,Outras Engenharias,1,0,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,MT,1,5000.5
Pós-graduação,Outras Engenharias,1,0,de 7 a 10 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,1,14000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,RJ,2,10000.5
Graduação/Bacharelado,Outras Engenharias,0,0,de 5 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,RJ,0,10000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 4 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,RS,2,5000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 4 a 6 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,PR,2,7000.5
Pós-graduação,Outras Engenharias,1,1,de 4 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Outras Engenharias,0,0,Menos de 1 ano,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,0,10000.5
Pós-graduação,Ciências Sociais,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,DF,2,10000.5
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SC,2,10000.5
Estudante de Graduação,Outra opção,1,0,de 5 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,RJ,1,14000.5
Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,PE,2,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,GO,2,5000.5
Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,1,1,de 5 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 7 a 10 anos,Pleno,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Outras Engenharias,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,CE,2,10000.5
